name	run	timing
benchmark/ssb/benchmarks/sf1/q2.2-t8.benchmark	2	0.014037
benchmark/ssb/benchmarks/sf1/q2.2-t8.benchmark	3	0.013492
benchmark/ssb/benchmarks/sf1/q2.2-t8.benchmark	4	0.014200
benchmark/ssb/benchmarks/sf1/q2.2-t8.benchmark	5	0.015053
benchmark/ssb/benchmarks/sf1/q2.3-t1.benchmark	1	0.040888
benchmark/ssb/benchmarks/sf1/q2.3-t1.benchmark	2	0.041833
benchmark/ssb/benchmarks/sf1/q2.3-t1.benchmark	3	0.041960
benchmark/ssb/benchmarks/sf1/q2.3-t1.benchmark	4	0.041317
benchmark/ssb/benchmarks/sf1/q2.3-t1.benchmark	5	0.041244
benchmark/ssb/benchmarks/sf1/q2.3-t4.benchmark	1	0.013559
benchmark/ssb/benchmarks/sf1/q2.3-t4.benchmark	2	0.014503
benchmark/ssb/benchmarks/sf1/q2.3-t4.benchmark	3	0.014456
benchmark/ssb/benchmarks/sf1/q2.3-t4.benchmark	4	0.014863
benchmark/ssb/benchmarks/sf1/q2.3-t4.benchmark	5	0.014146
benchmark/ssb/benchmarks/sf1/q2.3-t8.benchmark	1	0.011404
benchmark/ssb/benchmarks/sf1/q2.3-t8.benchmark	2	0.010813
benchmark/ssb/benchmarks/sf1/q2.3-t8.benchmark	3	0.011320
benchmark/ssb/benchmarks/sf1/q2.3-t8.benchmark	4	0.010940
benchmark/ssb/benchmarks/sf1/q2.3-t8.benchmark	5	0.011366
benchmark/ssb/benchmarks/sf1/q3.1-t1.benchmark	1	0.081583
benchmark/ssb/benchmarks/sf1/q3.1-t1.benchmark	2	0.081217
benchmark/ssb/benchmarks/sf1/q3.1-t1.benchmark	3	0.080910
benchmark/ssb/benchmarks/sf1/q3.1-t1.benchmark	4	0.084782
benchmark/ssb/benchmarks/sf1/q3.1-t1.benchmark	5	0.080036
benchmark/ssb/benchmarks/sf1/q3.1-t4.benchmark	1	0.025097
benchmark/ssb/benchmarks/sf1/q3.1-t4.benchmark	2	0.025428
benchmark/ssb/benchmarks/sf1/q3.1-t4.benchmark	3	0.025946
benchmark/ssb/benchmarks/sf1/q3.1-t4.benchmark	4	0.026355
benchmark/ssb/benchmarks/sf1/q3.1-t4.benchmark	5	0.025404
benchmark/ssb/benchmarks/sf1/q3.1-t8.benchmark	1	0.018218
benchmark/ssb/benchmarks/sf1/q3.1-t8.benchmark	2	0.017161
benchmark/ssb/benchmarks/sf1/q3.1-t8.benchmark	3	0.017870
benchmark/ssb/benchmarks/sf1/q3.1-t8.benchmark	4	0.017922
benchmark/ssb/benchmarks/sf1/q3.1-t8.benchmark	5	0.017443
benchmark/ssb/benchmarks/sf1/q3.2-t1.benchmark	1	0.055383
benchmark/ssb/benchmarks/sf1/q3.2-t1.benchmark	2	0.055471
benchmark/ssb/benchmarks/sf1/q3.2-t1.benchmark	3	0.055539
benchmark/ssb/benchmarks/sf1/q3.2-t1.benchmark	4	0.055953
benchmark/ssb/benchmarks/sf1/q3.2-t1.benchmark	5	0.056045
benchmark/ssb/benchmarks/sf1/q3.2-t4.benchmark	1	0.017690
benchmark/ssb/benchmarks/sf1/q3.2-t4.benchmark	2	0.016478
benchmark/ssb/benchmarks/sf1/q3.2-t4.benchmark	3	0.016986
benchmark/ssb/benchmarks/sf1/q3.2-t4.benchmark	4	0.018116
benchmark/ssb/benchmarks/sf1/q3.2-t4.benchmark	5	0.017327
benchmark/ssb/benchmarks/sf1/q3.2-t8.benchmark	1	0.012359
benchmark/ssb/benchmarks/sf1/q3.2-t8.benchmark	2	0.012056
benchmark/ssb/benchmarks/sf1/q3.2-t8.benchmark	3	0.012681
benchmark/ssb/benchmarks/sf1/q3.2-t8.benchmark	4	0.012410
benchmark/ssb/benchmarks/sf1/q3.2-t8.benchmark	5	0.012589
benchmark/ssb/benchmarks/sf1/q3.3-t1.benchmark	1	0.051323
benchmark/ssb/benchmarks/sf1/q3.3-t1.benchmark	2	0.051287
benchmark/ssb/benchmarks/sf1/q3.3-t1.benchmark	3	0.051125
benchmark/ssb/benchmarks/sf1/q3.3-t1.benchmark	4	0.050967
benchmark/ssb/benchmarks/sf1/q3.3-t1.benchmark	5	0.050850
benchmark/ssb/benchmarks/sf1/q3.3-t4.benchmark	1	0.015966
benchmark/ssb/benchmarks/sf1/q3.3-t4.benchmark	2	0.015481
benchmark/ssb/benchmarks/sf1/q3.3-t4.benchmark	3	0.015550
benchmark/ssb/benchmarks/sf1/q3.3-t4.benchmark	4	0.016352
benchmark/ssb/benchmarks/sf1/q3.3-t4.benchmark	5	0.017295
benchmark/ssb/benchmarks/sf1/q3.3-t8.benchmark	1	0.011160
benchmark/ssb/benchmarks/sf1/q3.3-t8.benchmark	2	0.011723
benchmark/ssb/benchmarks/sf1/q3.3-t8.benchmark	3	0.010623
benchmark/ssb/benchmarks/sf1/q3.3-t8.benchmark	4	0.011550
benchmark/ssb/benchmarks/sf1/q3.3-t8.benchmark	5	0.011707
benchmark/ssb/benchmarks/sf1/q3.4-t1.benchmark	1	0.035903
benchmark/ssb/benchmarks/sf1/q3.4-t1.benchmark	2	0.035450
benchmark/ssb/benchmarks/sf1/q3.4-t1.benchmark	3	0.036012
benchmark/ssb/benchmarks/sf1/q3.4-t1.benchmark	4	0.037367
benchmark/ssb/benchmarks/sf1/q3.4-t1.benchmark	5	0.035884
benchmark/ssb/benchmarks/sf1/q3.4-t4.benchmark	1	0.013158
benchmark/ssb/benchmarks/sf1/q3.4-t4.benchmark	2	0.013210
benchmark/ssb/benchmarks/sf1/q3.4-t4.benchmark	3	0.013117
benchmark/ssb/benchmarks/sf1/q3.4-t4.benchmark	4	0.013711
benchmark/ssb/benchmarks/sf1/q3.4-t4.benchmark	5	0.014088
benchmark/ssb/benchmarks/sf1/q3.4-t8.benchmark	1	0.010059
benchmark/ssb/benchmarks/sf1/q3.4-t8.benchmark	2	0.009869
benchmark/ssb/benchmarks/sf1/q3.4-t8.benchmark	3	0.009656
benchmark/ssb/benchmarks/sf1/q3.4-t8.benchmark	4	0.009230
benchmark/ssb/benchmarks/sf1/q3.4-t8.benchmark	5	0.009589
benchmark/ssb/benchmarks/sf1/q4.1-t1.benchmark	1	0.094932
benchmark/ssb/benchmarks/sf1/q4.1-t1.benchmark	2	0.092987
benchmark/ssb/benchmarks/sf1/q4.1-t1.benchmark	3	0.095168
benchmark/ssb/benchmarks/sf1/q4.1-t1.benchmark	4	0.095641
benchmark/ssb/benchmarks/sf1/q4.1-t1.benchmark	5	0.093139
benchmark/ssb/benchmarks/sf1/q4.1-t4.benchmark	1	0.030192
benchmark/ssb/benchmarks/sf1/q4.1-t4.benchmark	2	0.030295
benchmark/ssb/benchmarks/sf1/q4.1-t4.benchmark	3	0.029400
benchmark/ssb/benchmarks/sf1/q4.1-t4.benchmark	4	0.028824
benchmark/ssb/benchmarks/sf1/q4.1-t4.benchmark	5	0.030018
benchmark/ssb/benchmarks/sf1/q4.1-t8.benchmark	1	0.020700
benchmark/ssb/benchmarks/sf1/q4.1-t8.benchmark	2	0.020042
benchmark/ssb/benchmarks/sf1/q4.1-t8.benchmark	3	0.020859
benchmark/ssb/benchmarks/sf1/q4.1-t8.benchmark	4	0.020237
benchmark/ssb/benchmarks/sf1/q4.1-t8.benchmark	5	0.020552
benchmark/ssb/benchmarks/sf1/q4.2-t1.benchmark	1	0.065623
benchmark/ssb/benchmarks/sf1/q4.2-t1.benchmark	2	0.066510
benchmark/ssb/benchmarks/sf1/q4.2-t1.benchmark	3	0.068689
benchmark/ssb/benchmarks/sf1/q4.2-t1.benchmark	4	0.064751
benchmark/ssb/benchmarks/sf1/q4.2-t1.benchmark	5	0.062612
benchmark/ssb/benchmarks/sf1/q4.2-t4.benchmark	1	0.022943
benchmark/ssb/benchmarks/sf1/q4.2-t4.benchmark	2	0.022420
benchmark/ssb/benchmarks/sf1/q4.2-t4.benchmark	3	0.023245
benchmark/ssb/benchmarks/sf1/q4.2-t4.benchmark	4	0.023197
benchmark/ssb/benchmarks/sf1/q4.2-t4.benchmark	5	0.021195
benchmark/ssb/benchmarks/sf1/q4.2-t8.benchmark	1	0.018687
benchmark/ssb/benchmarks/sf1/q4.2-t8.benchmark	2	0.017121
benchmark/ssb/benchmarks/sf1/q4.2-t8.benchmark	3	0.018495
benchmark/ssb/benchmarks/sf1/q4.2-t8.benchmark	4	0.016966
benchmark/ssb/benchmarks/sf1/q4.2-t8.benchmark	5	0.019780
benchmark/ssb/benchmarks/sf1/q4.3-t1.benchmark	1	0.054251
benchmark/ssb/benchmarks/sf1/q4.3-t1.benchmark	2	0.055908
benchmark/ssb/benchmarks/sf1/q4.3-t1.benchmark	3	0.055074
benchmark/ssb/benchmarks/sf1/q4.3-t1.benchmark	4	0.053433
benchmark/ssb/benchmarks/sf1/q4.3-t1.benchmark	5	0.052424
benchmark/ssb/benchmarks/sf1/q4.3-t4.benchmark	1	0.017130
benchmark/ssb/benchmarks/sf1/q4.3-t4.benchmark	2	0.017039
benchmark/ssb/benchmarks/sf1/q4.3-t4.benchmark	3	0.016926
benchmark/ssb/benchmarks/sf1/q4.3-t4.benchmark	4	0.017050
benchmark/ssb/benchmarks/sf1/q4.3-t4.benchmark	5	0.017118
benchmark/ssb/benchmarks/sf1/q4.3-t8.benchmark	1	0.016312
benchmark/ssb/benchmarks/sf1/q4.3-t8.benchmark	2	0.014833
benchmark/ssb/benchmarks/sf1/q4.3-t8.benchmark	3	0.013416
benchmark/ssb/benchmarks/sf1/q4.3-t8.benchmark	4	0.014659
benchmark/ssb/benchmarks/sf1/q4.3-t8.benchmark	5	0.015533
benchmark/ssb/benchmarks/sf10/q1.1-t1.benchmark	1	0.277029
benchmark/ssb/benchmarks/sf10/q1.1-t1.benchmark	2	0.280447
benchmark/ssb/benchmarks/sf10/q1.1-t1.benchmark	3	0.281775
benchmark/ssb/benchmarks/sf10/q1.1-t1.benchmark	4	0.282990
benchmark/ssb/benchmarks/sf10/q1.1-t1.benchmark	5	0.279376
benchmark/ssb/benchmarks/sf10/q1.1-t4.benchmark	1	0.081613
benchmark/ssb/benchmarks/sf10/q1.1-t4.benchmark	2	0.079565
benchmark/ssb/benchmarks/sf10/q1.1-t4.benchmark	3	0.080585
benchmark/ssb/benchmarks/sf10/q1.1-t4.benchmark	4	0.079836
benchmark/ssb/benchmarks/sf10/q1.1-t4.benchmark	5	0.081218
benchmark/ssb/benchmarks/sf10/q1.1-t8.benchmark	1	0.051643
benchmark/ssb/benchmarks/sf10/q1.1-t8.benchmark	2	0.051591
benchmark/ssb/benchmarks/sf10/q1.1-t8.benchmark	3	0.052889
benchmark/ssb/benchmarks/sf10/q1.1-t8.benchmark	4	0.052232
benchmark/ssb/benchmarks/sf10/q1.1-t8.benchmark	5	0.052304
benchmark/ssb/benchmarks/sf10/q1.2-t1.benchmark	1	0.237282
benchmark/ssb/benchmarks/sf10/q1.2-t1.benchmark	2	0.238695
benchmark/ssb/benchmarks/sf10/q1.2-t1.benchmark	3	0.247908
benchmark/ssb/benchmarks/sf10/q1.2-t1.benchmark	4	0.237589
benchmark/ssb/benchmarks/sf10/q1.2-t1.benchmark	5	0.238041
benchmark/ssb/benchmarks/sf10/q1.2-t4.benchmark	1	0.067211
benchmark/ssb/benchmarks/sf10/q1.2-t4.benchmark	2	0.068947
benchmark/ssb/benchmarks/sf10/q1.2-t4.benchmark	3	0.067175
benchmark/ssb/benchmarks/sf10/q1.2-t4.benchmark	4	0.068470
benchmark/ssb/benchmarks/sf10/q1.2-t4.benchmark	5	0.068762
benchmark/ssb/benchmarks/sf10/q1.2-t8.benchmark	1	0.042873
benchmark/ssb/benchmarks/sf10/q1.2-t8.benchmark	2	0.042267
benchmark/ssb/benchmarks/sf10/q1.2-t8.benchmark	3	0.042941
benchmark/ssb/benchmarks/sf10/q1.2-t8.benchmark	4	0.043830
benchmark/ssb/benchmarks/sf10/q1.2-t8.benchmark	5	0.043527
benchmark/ssb/benchmarks/sf10/q1.3-t1.benchmark	1	0.201624
benchmark/ssb/benchmarks/sf10/q1.3-t1.benchmark	2	0.205637
benchmark/ssb/benchmarks/sf10/q1.3-t1.benchmark	3	0.204354
benchmark/ssb/benchmarks/sf10/q1.3-t1.benchmark	4	0.203898
benchmark/ssb/benchmarks/sf10/q1.3-t1.benchmark	5	0.203452
benchmark/ssb/benchmarks/sf10/q1.3-t4.benchmark	1	0.054367
benchmark/ssb/benchmarks/sf10/q1.3-t4.benchmark	2	0.054513
benchmark/ssb/benchmarks/sf10/q1.3-t4.benchmark	3	0.054784
benchmark/ssb/benchmarks/sf10/q1.3-t4.benchmark	4	0.054315
benchmark/ssb/benchmarks/sf10/q1.3-t4.benchmark	5	0.054149
benchmark/ssb/benchmarks/sf10/q1.3-t8.benchmark	1	0.033703
